Keyword Stats 2026-09-23 at 13_44_18
"September 1, 2025 - August 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026	Searches: Jul 2026	Searches: Aug 2026
soccer team website	USD	0	0%	0%	Unknown																				
valencia soccer	USD	50	0%	0%	Low	0																			
soccer academy summer camps	USD	50	-100%	0%	Unknown																				
juventus soccer	USD	5000	900%	0%	Low	2																			
travel soccer tryouts near me	USD	50	0%	0%	Unknown																				
men's soccer tryouts near me	USD	50	-100%	0%	Unknown																				
junior academy soccer	USD	50	-100%	-100%	Unknown																				
club tryouts soccer	USD	50	0%	0%	Low	8						Y													
sd fc	USD	5000	900%	0%	Low	12	0.18	1.35																	
local soccer tryouts	USD	0	0%	0%	Unknown																				
ecnl teams	USD	50	0%	0%	Low	0																			
women's soccer teams	USD	50	0%	0%	Low	5																			
professional women's soccer teams	USD	50	0%	0%	Low	12																			
mls fc	USD	500	900%	900%	Low	2	2.00	17.14																	
women's pro soccer teams	USD	50	0%	0%	Low	12																			
mls soccer website	USD	50	0%	0%	Low	0																			
football development academy	USD	0	0%	0%	Unknown																				
buying a football club	USD	50	-100%	0%	Unknown																				
women's pro soccer	USD	50	0%	0%	Low	10																			
travel soccer leagues near me	USD	0	0%	0%	Unknown																				
women's major league soccer	USD	50	0%	0%	Low	1																			
all star soccer	USD	50	0%	0%	Low	0																			
ecnl soccer league	USD	50	0%	0%	Low	0																			
bay city fc	USD	50	0%	0%	Low	0																			
semi pro soccer tryouts	USD	50	0%	0%	Unknown																				
free soccer tryouts	USD	50	0%	-100%	Unknown																				
ecnl clubs near me	USD	50	0%	∞	Low	0																			
soccer team playing today	USD	50	0%	0%	Low	0																			
ecnl soccer clubs near me	USD	50	-100%	0%	Unknown																				
ecnl teams near me	USD	50	0%	0%	Low	0																			
soccer pro academy	USD	50	∞	0%	Medium	36																			
ecnl soccer teams near me	USD	50	0%	0%	Low	0																			
angel city women's soccer team	USD	50	∞	0%	Low	0																			
colorado rapids tryouts	USD	0	0%	-100%	Unknown																				
ecnl tryouts near me	USD	50	-100%	-100%	Unknown																				
local football teams	USD	50	∞	0%	Low	0																			
ecnl tryouts	USD	50	0%	0%	Low	0																			
soccer travel	USD	50	0%	∞	Low	0																			
upsl tryouts	USD	50	0%	0%	Low	7																			
upsl tryouts near me	USD	50	-100%	0%	Unknown																				
academy tryouts	USD	50	0%	-100%	Unknown																				
football clubs for 5 year olds near me	USD	0	0%	0%	Unknown																				
football clubs near me for 7 year olds	USD		 --	 --	Unknown																				
open tryouts	USD	50	0%	0%	Low	0																			
goalkeeper training near me	USD	50	0%	0%	Low	7																			
childrens football clubs near me	USD	0	0%	0%	Unknown																				
football training academy	USD	50	-100%	0%	Unknown																				
football clubs near me u13	USD	0	0%	0%	Unknown																				
soccer teams for 15 year olds	USD	50	0%	0%	Unknown																				
soccer clubs for 13 year olds	USD	50	∞	∞	Low	0																			
the football academy	USD	50	0%	-100%	Unknown																				
football clubs near me u15	USD	0	0%	0%	Unknown																				
junior football academy near me	USD	0	0%	0%	Unknown																				
goal keeper training near me	USD	50	0%	0%	Low	7																			
football training clubs near me	USD		 --	 --	Unknown																				
football clubs for 8 year olds	USD	0	0%	0%	Unknown																				
goalkeeper coaching near me	USD	0	0%	0%	Unknown																				
soccer teams near me for 17 year olds	USD	0	0%	-100%	Unknown																				
football youth academy	USD	50	0%	∞	Low	0																			
near me football academy	USD		 --	 --	Unknown																				
soccer academy teams near me	USD	0	0%	0%	Unknown																				
women's soccer academy	USD	50	-100%	0%	Unknown																				
soccer tryouts 2022	USD	0	0%	0%	Unknown																				
football club for 3 year olds	USD	50	∞	∞	Low	29																			
youth travel soccer	USD	50	0%	-100%	Unknown																				
youth soccer travel teams near me	USD	0	0%	0%	Unknown																				
open tryouts soccer 2022	USD	0	0%	0%	Unknown																				
soccer tryouts for 13 year olds	USD	50	0%	0%	Unknown																				
youth soccer development	USD	50	0%	0%	Low	0																			
soccer teams near me for 7 year olds	USD	0	0%	0%	Unknown																				
soccer clubs near me 12	USD		 --	 --	Unknown																				
soccer league 3 year olds	USD	50	0%	0%	Low	21																			
football club for 5 year olds	USD	50	-100%	0%	Unknown																				
football academy summer camp	USD	50	-100%	0%	Unknown																				
juventus football academy	USD	50	0%	0%	Low	0																			
mls academy teams	USD	50	∞	0%	Low	0																			
academy soccer club	USD	50	0%	0%	Low	0																			
football clubs near me u16	USD		 --	 --	Unknown																				
junior soccer teams near me	USD	0	0%	0%	Unknown																				
affordable soccer clubs	USD	50	-100%	0%	Unknown																				
summer soccer youth league	USD	50	0%	0%	Unknown																				
football youth academy near me	USD		 --	 --	Unknown																				
sports academy soccer	USD	50	0%	0%	Unknown																				
summer soccer league youth near me	USD	0	0%	0%	Unknown																				
america club soccer	USD	50000	900%	0%	Low	6	0.35	1.87																	
athletic club fc	USD	50	0%	0%	Low	0																			
cf america fc	USD	50	∞	∞	Low	0																			
club america women's	USD	500	900%	0%	Low	1																			
club america women's soccer team	USD	50	∞	0%	Low	0																			
colorado rapids fc	USD	50	0%	0%	Low	0																			
fc dallas fc	USD	5000	900%	900%	Low	0																			
fc stars soccer	USD	50	0%	0%	Low	0																			
football club teams	USD	50	0%	0%	Low	0																			
junior elite fc	USD	0	0%	0%	Unknown																				
juventus soccer team	USD	50	0%	0%	Low	0																			
mls football team	USD	500	0%	0%	Low	0																			
pro soccer teams	USD	50	0%	0%	Low	0																			
sporting football club	USD	500	900%	900%	Low	2																			
sporting soccer team	USD	50	0%	0%	Low	0																			
soccer teams near me for 6 year olds	USD	0	0%	0%	Unknown																				
youth competitive soccer	USD	50	0%	0%	Low	0																			
sport tryouts near me	USD	50	0%	-100%	Unknown																				
football club academy near me	USD	0	0%	0%	Unknown																				
soccer development academy near me	USD	50	∞	∞	Low	14																			
academy of soccer	USD	50	0%	0%	Unknown																				
professional football academy	USD	50	0%	0%	Unknown																				
pro soccer tryouts 2022	USD	0	0%	0%	Unknown																				
champions youth soccer league	USD	50	0%	0%	Low	0																			
club soccer for youth	USD	50	0%	0%	Low	0																			
club soccer leagues near me	USD	50	-100%	0%	Unknown																				
ecnl academy	USD	50	-100%	0%	Unknown																				
ecnl soccer clubs	USD	50	0%	∞	Low	0																			
ecnl soccer teams	USD	50	0%	0%	Low	0																			
ecnl youth soccer	USD	50	0%	0%	Low	0																			
elite academy soccer league	USD	50	0%	0%	Low	0																			
elite youth soccer club	USD	50	0%	0%	Unknown																				
elite youth soccer league	USD	50	0%	0%	Unknown																				
football club for 3 year olds near me	USD		 --	 --	Unknown																				
football club for 4 year olds near me	USD	0	0%	0%	Unknown																				
football club junior	USD	50	-100%	-100%	Unknown																				
football club youth	USD	50	0%	0%	Low	7																			
football clubs near me for 3 year olds	USD	0	0%	0%	Unknown																				
football clubs near me for 4 year olds	USD	0	0%	0%	Unknown																				
football clubs near me u18	USD	50	0%	0%	Unknown																				
jr soccer league	USD	50	0%	0%	Unknown																				
junior soccer academy	USD	50	0%	0%	Unknown																				
junior soccer team	USD	50	-100%	-100%	Unknown																				
juventus youth soccer	USD	50	0%	-100%	Unknown																				
juventus youth soccer club	USD	50	0%	0%	Unknown																				
little football club	USD	0	0%	-100%	Unknown																				
local football clubs for 5 year olds	USD	0	0%	0%	Unknown																				
local football clubs for 7 year olds near me	USD		 --	 --	Unknown																				
local junior football clubs	USD		 --	 --	Unknown																				
local youth soccer teams	USD	0	0%	0%	Unknown																				
recreational youth soccer leagues	USD	50	∞	∞	Low	14																			
select soccer leagues near me	USD	0	0%	0%	Unknown																				
soccer clubs near me 14	USD		 --	 --	Unknown																				
soccer clubs near me u17	USD	50	0%	0%	Unknown																				
soccer teams for 17 year olds near me	USD	0	0%	0%	Unknown																				
soccer teams for little league	USD	50	-100%	-100%	Unknown																				
soccer teams near me for 4 year olds	USD	0	0%	0%	Unknown																				
spring club soccer near me	USD	0	0%	0%	Unknown																				
spring soccer teams near me	USD	0	0%	0%	Unknown																				
summer football leagues	USD	50	0%	∞	Low	0																			
summer soccer leagues near me youth	USD	0	0%	0%	Unknown																				
teenage soccer clubs near me	USD	50	0%	∞	Low	14																			
teenage soccer team near me	USD	50	-100%	-100%	Unknown																				
u10 soccer team	USD	50	0%	0%	Unknown																				
u11 soccer team	USD	50	0%	-100%	Unknown																				
u14 football clubs near me	USD	0	0%	0%	Unknown																				
u16 football clubs near me	USD		 --	 --	Unknown																				
u16 soccer clubs	USD	50	0%	0%	Unknown																				
u18 football clubs near me	USD		 --	 --	Unknown																				
u18 soccer clubs	USD	50	0%	0%	Unknown																				
u18 soccer teams	USD	50	0%	0%	Unknown																				
young soccer teams	USD	50	0%	0%	Unknown																				
youth club soccer leagues	USD	50	0%	0%	Unknown																				
youth club soccer teams	USD	50	0%	0%	Unknown																				
youth competitive soccer leagues	USD	50	0%	-100%	Unknown																				
youth indoor soccer teams near me	USD	0	0%	0%	Unknown																				
youth select soccer	USD		 --	 --	Unknown																				
youth select soccer teams near me	USD	0	0%	0%	Unknown																				
youth soccer travel teams	USD	0	0%	0%	Unknown																				
youth team soccer	USD	500	-90%	0%	Low	3																			
youth travel soccer clubs near me	USD	0	0%	0%	Unknown																				
youth travel soccer leagues	USD		 --	 --	Unknown																				
youth travel soccer leagues near me	USD		 --	 --	Unknown																				
youth travel soccer near me	USD		 --	 --	Unknown																				
football academy training	USD	50	-100%	0%	Unknown																				
goalkeeper coaching	USD	50	∞	∞	Low	0																			
academia soccer	USD	50	0%	0%	Unknown																				
academy fc	USD	50	∞	∞	Low	0																			
academy futbol	USD	50	∞	0%	Low	0																			
colorado rapids youth academy	USD	50	∞	∞	Low	0																			
fc dallas academy soccer	USD	50	0%	0%	Unknown																				
fc dallas soccer academy	USD	50	-100%	0%	Unknown																				
fc dallas youth camps	USD		 --	 --	Unknown																				
fc dallas youth teams	USD	50	∞	∞	Low	0																			
fc elite soccer academy	USD	0	0%	0%	Unknown																				
fc football academy	USD	0	0%	0%	Unknown																				
fc youth	USD	50	0%	0%	Low	7																			
football academy for 5 year olds	USD	0	0%	0%	Unknown																				
football soccer academy	USD	50	0%	0%	Unknown																				
football training clubs	USD	50	∞	∞	Low	0																			
futbol training academy	USD	0	0%	0%	Unknown																				
good football academies near me	USD	50	0%	0%	Unknown																				
indoor soccer academy	USD	50	∞	0%	Low	0																			
junior football academy	USD	50	0%	0%	Unknown																				
juventus academy near me	USD	50	0%	-100%	Unknown																				
local football academies near me	USD		 --	 --	Unknown																				
local football academy	USD	0	0%	0%	Unknown																				
mls academy youth team	USD	50	-100%	-100%	Unknown																				
mls youth	USD	50	0%	∞	Low	0																			
mls youth teams	USD	50	-100%	0%	Unknown																				
pre academy football	USD	0	0%	0%	Unknown																				
pro elite soccer academy	USD	0	0%	0%	Unknown																				
pro elite soccer training	USD	0	0%	0%	Unknown																				
pro soccer youth development	USD	0	0%	-100%	Unknown																				
pro youth soccer academy	USD	50	-100%	0%	Unknown																				
sporting fc academy	USD	0	0%	0%	Unknown																				
sporting football academy	USD	0	0%	0%	Unknown																				
sporting soccer academy	USD	50	-100%	-100%	Unknown																				
summer football academy	USD	50	∞	∞	Low	0																			
the academy soccer	USD	50	-100%	0%	Unknown																				
the soccer academy	USD	50	-100%	-100%	Unknown																				
women's football academy	USD	50	0%	0%	Unknown																				
goalkeeper coach near me	USD	50	-100%	-100%	Unknown																				
tryouts for professional soccer teams	USD	50	0%	0%	Medium	57																			
soccer goalkeeper training near me	USD	50	0%	0%	Low	7																			
soccer tryouts near me 2022	USD	0	0%	0%	Unknown																				
tryouts for soccer academy	USD	0	0%	0%	Unknown																				
2022 soccer tryouts	USD		 --	 --	Unknown																				
academy tryouts 2022	USD	0	0%	0%	Unknown																				
club soccer team tryouts	USD	0	0%	0%	Unknown																				
club soccer tryouts 2022	USD		 --	 --	Unknown																				
club tryouts	USD	50	-100%	-100%	Unknown																				
colorado rapids soccer tryouts	USD		 --	 --	Unknown																				
colorado rapids youth soccer tryouts	USD	0	0%	0%	Unknown																				
colorado rapids youth tryouts	USD	0	0%	0%	Unknown																				
ecnl soccer tryouts	USD	50	0%	0%	Unknown																				
ecnl tryouts 2022	USD	0	0%	0%	Unknown																				
football club tryouts	USD	50	0%	0%	Unknown																				
football tryout	USD	50	0%	∞	Low	0																			
futbol tryouts	USD	50	0%	0%	Low	3																			
men's soccer tryouts	USD	50	0%	0%	Unknown																				
open professional soccer tryouts	USD	50	-100%	0%	Unknown																				
open tryouts soccer 2022 near me	USD		 --	 --	Unknown																				
pro soccer club tryouts	USD	0	0%	-100%	Unknown																				
pro soccer open tryouts	USD	50	-100%	0%	Unknown																				
pro soccer team tryouts	USD	50	0%	0%	Medium	57																			
pro tryouts	USD	50	0%	-100%	Unknown																				
professional tryouts	USD	50	0%	-100%	Unknown																				
rapids soccer tryouts	USD	0	0%	0%	Unknown																				
rapids youth soccer tryouts	USD	0	0%	0%	Unknown																				
rapids youth soccer tryouts 2022	USD		 --	 --	Unknown																				
semi pro soccer tryouts 2022	USD	0	0%	0%	Unknown																				
semi pro soccer tryouts 2022 near me	USD		 --	 --	Unknown																				
semi professional soccer tryouts	USD	50	0%	0%	Unknown																				
soccer academy tryouts 2022	USD	0	0%	0%	Unknown																				
soccer club tryouts 2022	USD	0	0%	0%	Unknown																				
soccer league tryouts	USD	50	0%	0%	Unknown																				
soccer travel team tryouts	USD	50	0%	0%	Unknown																				
soccer travel tryouts	USD	50	-100%	0%	Unknown																				
soccer try	USD	50	-100%	0%	Unknown																				
soccer tryouts 2022 near me	USD	0	0%	0%	Unknown																				
soccer tryouts adults	USD	50	0%	0%	Unknown																				
soccer tryouts near me youth	USD	0	0%	0%	Unknown																				
soccer tryouts youth	USD	50	0%	0%	Unknown							Y													
sport tryouts	USD	50	0%	0%	Low	0																			
sporting soccer tryouts	USD	50	0%	0%	Unknown																				
team tryouts	USD	50	0%	0%	Low	0																			
travel soccer tryouts	USD	50	-100%	0%	Unknown																				
travel tryouts	USD	50	0%	0%	Unknown																				
tryouts near me	USD	50	-100%	0%	Unknown																				
tryouts soccer 2022	USD		 --	 --	Unknown																				
u21 soccer tryouts near me	USD	0	0%	0%	Unknown																				
upsl soccer tryouts	USD	50	0%	∞	Low	0																			
upsl tryouts 2022	USD	0	0%	0%	Unknown																				
upsl tryouts 2022 near me	USD	0	0%	0%	Unknown																				
youth soccer academy tryouts	USD	50	0%	0%	Unknown																				
youth soccer club tryouts	USD	50	∞	∞	Low	0																			
soccer goalkeeper training	USD	50	0%	0%	Low	23						Y													
keeper training	USD	50	-100%	0%	Unknown																				
soccer travel leagues	USD	50	0%	0%	Unknown																				
soccer trips	USD	50	0%	0%	Unknown																				
travel league soccer	USD	50	0%	0%	Unknown																				
travel soccer leagues	USD	50	0%	0%	Unknown																				
club league soccer	USD	50	0%	0%	Low	0																			
competitive soccer club	USD	50	0%	0%	Low	0																			
competitive soccer league	USD	50	∞	0%	Low	7																			
competitive soccer teams	USD	50	0%	0%	Low	0																			
soccer competitive	USD	50	0%	0%	Low	0																			
youth goalkeeper training near me	USD	50	-100%	0%	Unknown																				
exercise for goalkeeper	USD	50	0%	0%	Low	0																			
football goalkeeper coaching	USD	0	0%	0%	Unknown																				
football goalkeeper practice	USD	50	0%	0%	Low	0																			
football goalkeeper training	USD	50	0%	0%	Low	23																			
football keeper coaching	USD		 --	 --	Unknown																				
football keeper training	USD	50	0%	0%	Low	23																			
goal keeper practice	USD	50	0%	0%	Low	0																			
goal keepers training	USD	0	0%	0%	Unknown																				
goalkeeper coach training	USD	50	0%	0%	Unknown																				
goalkeeper coaching sessions	USD	50	0%	0%	Unknown																				
goalkeeper drill	USD	50	0%	0%	Low	0																			
goalkeeper lessons	USD	0	0%	0%	Unknown																				
goalkeeper lessons near me	USD	50	0%	0%	Unknown																				
goalkeeper session	USD	50	0%	-100%	Unknown																				
goalkeeper skills training	USD	50	0%	0%	Unknown																				
goalkeeper trainer near me	USD		 --	 --	Unknown																				
goalkeeper training coach	USD	0	0%	0%	Unknown																				
goalkeeper training drill	USD	50	0%	0%	Low	14																			
goalkeeper training for adults	USD	50	-100%	0%	Unknown																				
goalkeeper training session	USD	50	0%	0%	Unknown																				
goalkeeper training sessions near me	USD		 --	 --	Unknown																				
goalkeeper training youth	USD		 --	 --	Unknown							Y													
goalkeeper workout	USD	50	0%	0%	Low	0																			
keeper coaching	USD		 --	 --	Unknown																				
keeper training near me	USD	50	0%	0%	Unknown																				
professional goalkeeper training	USD	50	0%	0%	Unknown																				
soccer goalkeeper training sessions	USD	50	0%	0%	Unknown																				
soccer goalkeeper workout	USD	50	0%	0%	Low	0																			
soccer keeper training	USD	50	0%	0%	Low	23																			
training keeper football	USD		 --	 --	Unknown																				
youth goalkeeper training	USD	50	0%	∞	Low	0						Y													
youth soccer goalkeeper training	USD	50	0%	∞	Low	0																			
