Keyword Stats 2026-09-23 at 13_51_37
"September 1, 2025 - August 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026	Searches: Jul 2026	Searches: Aug 2026
free soccer tryouts	USD	50	0%	-100%	Unknown																				
sd soccer team	USD	500	900%	0%	Low	32	0.09	1.07																	
adult soccer clubs	USD	50	0%	0%	Low	32																			
team soccer	USD	500	0%	0%	Low	1																			
adult beginner soccer league	USD	50	0%	0%	Medium	43																			
adult rec soccer leagues near me	USD	50	0%	∞	Low	19																			
inside soccer field	USD	50	-100%	0%	Unknown																				
npl youth soccer	USD	50	0%	0%	Low	0																			
recreational indoor soccer near me	USD	50	-100%	0%	Unknown																				
npl soccer	USD	500	0%	-90%	Low	0																			
youth soccer leagues san diego	USD	500	900%	900%	Low	12	0.54	1.98																	
bay soccer team	USD	50	0%	0%	Low	0																			
co ed soccer near me	USD	50	-100%	-100%	Unknown																				
ecnl tryouts near me	USD	50	-100%	-100%	Unknown																				
winter adult soccer leagues	USD		 --	 --	Unknown																				
soccer academy san diego	USD	500	0%	0%	Low	6	0.84	2.83				Y													
indoor adult soccer league	USD	50	0%	0%	Low	19																			
over 30 soccer league	USD	50	0%	0%	Unknown																				
pickup indoor soccer near me	USD	50	0%	0%	Unknown																				
ecnl tryouts	USD	50	0%	0%	Low	0																			
indoor adult soccer league near me	USD	50	0%	0%	Unknown																				
juventus fc academy	USD	50	0%	0%	Low	0																			
adult indoor soccer league near me	USD	50	0%	0%	Low	29																			
soccer league website	USD	50	0%	0%	Unknown																				
men's soccer near me	USD	50	-100%	-100%	Unknown																				
fc football club	USD	50	0%	0%	Low	24																			
football development academy	USD	0	0%	0%	Unknown																				
real soccer camp	USD	0	0%	0%	Unknown																				
indoor soccer adult league	USD	50	0%	0%	Low	7																			
women's rec soccer league near me	USD	50	∞	∞	Low	0																			
rise soccer academy	USD	50	0%	-100%	Unknown																				
inside soccer	USD	500	0%	900%	Low	0																			
soccer team website	USD	0	0%	0%	Unknown																				
soccer stars camp	USD	0	0%	0%	Unknown																				
one up soccer	USD		 --	 --	Unknown																				
juventus soccer	USD	5000	900%	0%	Low	2																			
adult women's soccer league	USD	50	-100%	0%	Unknown																				
soccer on today	USD	5000	0%	0%	Low	1	0.73	5.12																	
sd fc	USD	5000	900%	0%	Low	12	0.18	1.35																	
ecnl teams	USD	50	0%	0%	Low	0																			
pathway soccer	USD	50	∞	∞	Low	0																			
soccer pro academy	USD	50	∞	0%	Medium	36																			
state cup	USD	500	0%	0%	Low	0																			
women's soccer teams	USD	50	0%	0%	Low	5																			
professional women's soccer teams	USD	50	0%	0%	Low	12																			
women's pro soccer teams	USD	50	0%	0%	Low	12																			
women's professional soccer league	USD	50	900%	900%	Low	3																			
looking for soccer	USD	50	∞	∞	High	100																			
ecnl soccer league	USD	50	0%	0%	Low	0																			
best youth soccer clubs in san diego	USD	50	0%	0%	Low	6																			
ecnl clubs near me	USD	50	0%	∞	Low	0																			
pro women's soccer	USD	50	900%	900%	Low	3																			
ecnl soccer clubs near me	USD	50	-100%	0%	Unknown																				
5u soccer	USD	50	0%	0%	Unknown																				
indoor pickup soccer near me	USD	0	0%	-100%	Unknown																				
ecnl teams near me	USD	50	0%	0%	Low	0																			
women's pro soccer league	USD	50	900%	900%	Low	3																			
best soccer clubs in san diego	USD	50	0%	0%	Low	2																			
ecnl soccer teams near me	USD	50	0%	0%	Low	0																			
bay city fc	USD	50	0%	0%	Low	0																			
pickup soccer near me today	USD	50	∞	∞	Low	0																			
soccer team playing today	USD	50	0%	0%	Low	0																			
indoor pickup soccer	USD	50	0%	0%	Low	0																			
star soccer academy	USD	50	0%	0%	Unknown																				
futbol near me	USD	50	-90%	0%	Low	1																			
angel city women's soccer team	USD	50	∞	0%	Low	0																			
chula vista youth soccer league	USD	50	0%	0%	Low	0																			
san diego soccer leagues for adults	USD	500	0%	0%	Low	25	0.65	4.03																	
san diego pro soccer team	USD	50	0%	-90%	Medium	38	0.33	2.98																	
san diego futbol club	USD	50000	0%	0%	Low	14	0.17	1.34																	
san diego professional soccer team	USD	50	0%	-90%	Medium	38	0.33	2.98																	
san diego men's soccer team	USD	500	0%	0%	Low	33	0.13	1.03																	
league soccer	USD	50	0%	0%	Low	3																			
sporting football club	USD	500	900%	900%	Low	2																			
soccer eastlake	USD		 --	 --	Unknown																				
soccer bonita	USD		 --	 --	Unknown																				
soccer national city	USD		 --	 --	Unknown																				
